strain_pct,n_runs,n_valid,clearance_time_mean,clearance_time_std,clearance_time_sem,clearance_rate,n_ruptured_mean,n_ruptured_std,lysis_fraction_mean,lysis_fraction_std,mean_fiber_strain_initial,n_fragile_initial_mean
0,15,15,33.52568820221003,8.385483693483017,2.165122579650239,1.0,240.86666666666667,38.92826124821816,0.47973333333333346,0.07785652249643632,0.07243359408419049,0.0
5,15,15,37.596456994028884,11.389331523304296,2.9407127542795126,1.0,227.06666666666666,46.33953367215062,0.45213333333333333,0.09267906734430124,0.2559475844694954,23.0
10,15,15,40.93096842775798,8.051635604866226,2.0789233738251713,1.0,243.46666666666667,29.50270366948636,0.4849333333333333,0.059005407338972714,0.2707492938773814,9.0
15,15,15,37.192562684671984,9.347871666038843,2.4136100856701748,1.0,223.73333333333332,32.22790863891257,0.44546666666666673,0.06445581727782514,0.29179962599030324,9.0
18,15,15,38.01084151456772,9.42472987886051,2.43345479088868,1.0,233.06666666666666,38.852223077904284,0.46413333333333345,0.07770444615580857,0.3044696228782682,9.0
20,15,15,40.76473161376391,7.770638680673953,2.0063702799763594,1.0,242.46666666666667,34.052200823917104,0.4829333333333334,0.06810440164783423,0.31292606050330374,9.0
22,15,15,40.12102476746698,9.306625520019274,2.402960376561573,1.0,236.0,37.984959429452374,0.4699999999999999,0.07596991885890475,0.32138824397600424,9.0
23,15,15,42.24673293992358,7.161961734575564,1.8492105682790627,1.0,245.93333333333334,30.067701386482252,0.48986666666666673,0.0601354027729645,0.3256210976555058,9.0
25,15,15,39.64167565917325,8.244488994621488,2.1287179049439566,1.0,235.53333333333333,34.487817034563435,0.46906666666666663,0.06897563406912688,0.33408973057455277,9.0
28,15,15,38.89416196451659,7.089088704653682,1.8303948328607214,1.0,229.93333333333334,32.91648884822374,0.45786666666666664,0.0658329776964475,0.346798642086901,9.0
30,15,15,39.65298451374626,7.397512318967937,1.9100294676484686,1.0,234.73333333333332,33.32195043739758,0.4674666666666667,0.06664390087479516,0.3552744175153914,9.0
35,15,15,40.71713720429618,7.8224332587093075,2.019743582520011,1.0,237.53333333333333,35.19307291147479,0.47306666666666664,0.0703861458229496,0.3764721359403167,9.0
40,15,15,40.908544363970094,8.009507990550333,2.0680460705811115,1.0,238.8,32.89420270243028,0.4756,0.06578840540486056,0.3976784938615602,9.0
50,15,15,40.69181015465211,6.915821952563634,1.7856575498409744,1.0,239.0,27.640549922170507,0.4759999999999999,0.05528109984434102,0.44010762193321384,9.0
60,15,15,39.74391924919155,7.011844668618035,1.8104505085167275,1.0,235.0,28.101855556426976,0.46799999999999997,0.05620371111285396,0.4825501575720301,9.0
80,15,15,39.743989101093675,7.011859965908653,1.8104544582601811,1.0,235.0,28.101855556426976,0.46799999999999997,0.05620371111285396,0.5674564263194847,9.0
100,15,15,39.74399294671283,7.011860808084464,1.8104546757090405,1.0,235.0,28.101855556426976,0.46799999999999997,0.05620371111285396,0.6523774461683163,9.0
