mode,strain,clearance_time_mean,clearance_time_std,n_ruptured_mean,n_ruptured_std,lysis_fraction_mean,lysis_fraction_std,n_cleared,n_runs
biphasic,0.0,29.857832410694506,4.338311280816245,222.2,28.145337091603647,0.44239999999999996,0.056290674183207295,5,5
biphasic,0.1,37.42645181962767,9.754092615734676,252.4,37.20537595563307,0.5028,0.07441075191126617,5,5
biphasic,0.22,34.39078663794218,6.605029895173235,233.2,31.883538072177625,0.46440000000000003,0.06376707614435526,5,5
biphasic,0.4,23.140061622593926,5.476532010715205,196.6,39.65652531425314,0.39120000000000005,0.0793130506285063,5,5
biphasic,0.6,20.856855484437915,6.075318986661372,210.6,37.52652395306552,0.4192,0.07505304790613104,5,5
biphasic,1.0,14.936670174940826,2.5682602472950453,204.2,25.51391777050322,0.4064,0.05102783554100644,5,5
inhibitory,0.0,29.878431129941383,6.292782358175351,225.2,35.48182633405445,0.4484,0.0709636526681089,5,5
inhibitory,0.1,33.16710871264731,5.214679507189684,227.2,26.513392842109063,0.4524,0.053026785684218126,5,5
inhibitory,0.22,41.79317964345275,6.831888521960846,233.2,22.157617200412144,0.46440000000000003,0.0443152344008243,5,5
inhibitory,0.4,54.56671080752517,9.316075762929843,264.8,30.9864486509829,0.5276000000000001,0.061972897301965806,5,5
inhibitory,0.6,52.47308139622204,15.340331381681318,235.6,46.002608621685795,0.46919999999999995,0.09200521724337157,5,5
inhibitory,1.0,76.46070849336665,12.746646350121416,277.6,28.075612192791095,0.5531999999999999,0.056151224385582184,5,5
neutral,0.0,32.3103689873994,4.49623744737283,241.6,19.293522228976233,0.48119999999999996,0.038587044457952475,5,5
neutral,0.1,32.3103689873994,4.49623744737283,241.6,19.293522228976233,0.48119999999999996,0.038587044457952475,5,5
neutral,0.22,32.3103689873994,4.49623744737283,241.6,19.293522228976233,0.48119999999999996,0.038587044457952475,5,5
neutral,0.4,32.3103689873994,4.49623744737283,241.6,19.293522228976233,0.48119999999999996,0.038587044457952475,5,5
neutral,0.6,32.3103689873994,4.49623744737283,241.6,19.293522228976233,0.48119999999999996,0.038587044457952475,5,5
neutral,1.0,32.3103689873994,4.49623744737283,241.6,19.293522228976233,0.48119999999999996,0.038587044457952475,5,5
