batch_index,time,strain,intact_edges,ruptured_edges_total,newly_ruptured,mean_tension,lysis_fraction,param_lambda_0,param_dt,param_delta,param_force_alpha,param_force_F0,param_force_hill_n,param_rate_beta,param_plastic_rate,param_rupture_gamma,param_fracture_Gc,param_fracture_eta,param_coop_chi,param_aniso_kappa,param_memory_mu,param_memory_rho
0.0,0.05,0.08,239.0,16.0,16.0,0.2923510094710271,0.06668856879987284,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
1.0,0.1,0.08,224.0,31.0,15.0,0.03032424901280755,0.12271726168536856,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
2.0,0.15000000000000002,0.08,219.0,36.0,5.0,0.0012784661430227744,0.15163724360926467,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
3.0,0.2,0.08,212.0,43.0,7.0,0.00027716296746522676,0.19478934976310158,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
4.0,0.25,0.08,211.0,44.0,1.0,0.0001663503131167671,0.21599560343452862,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
5.0,0.3,0.08,206.0,49.0,5.0,7.688817529361315e-05,0.23268008548484265,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
6.0,0.35,0.08,205.0,50.0,1.0,4.5718854062569e-05,0.2523350436888697,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
7.0,0.39999999999999997,0.08,204.0,51.0,1.0,2.4467413343856455e-05,0.27597149078222405,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
8.0,0.44999999999999996,0.08,186.0,69.0,18.0,5.490226423221457e-06,0.33430301640321525,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
9.0,0.49999999999999994,0.08,186.0,69.0,0.0,5.490226423221457e-06,0.33430301640321525,0.15,0.05,0.05,1.0,1.0,2.0,0.5,0.01,0.5,0.5,0.3,0.5,0.5,0.2,0.1
